dist_falha_m,k_falha_mD,fator_pressao,prof_injecao_m,P_ini_MPa,pc_ativada,cenario_geomec,coesao_usada_MPa,atrito_usado_graus,pc_entrada_usada_kPa,swirr_usado,sgr_usado,k_selante_mD,pc_selante_MPa,k_FSASP_mD,nx,ny,nz,P_falha_MPa,ano_pico_pressao,P_reativ_MPa,margem_fratura,margem_reativ,reativacao,slip_tendency,P_reativ_slip_MPa,reativacao_slip,S_selante,S_falha_selo,S_FSASP,S_falha,massa_CO2_kg,vazao_media_CO2_kg_dia,injetividade_kg_dia_MPa,risco
500.0,100.0,1.2,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,39.894,5,51.2,21.466,11.305,false,0.168,80.039,false,0.0,0.5795,0.535308,0.6332,7.411435755599795e7,10152.65171999972,1529.0713706726435,ALTO
500.0,100.0,1.2,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,39.898,6,53.876,21.462,13.978,false,0.168,83.42,false,0.0,0.5487,0.512594,0.584,7.736065572539602e7,10597.35009936932,1596.046539252404,ALTO
500.0,1000.0,1.05,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,35.587,6,38.6,25.773,3.013,false,0.168,64.682,false,0.0,0.0,0.0,0.6953,1.6621613765500693e7,2276.9333925343417,1371.6982555776663,MEDIO
500.0,1000.0,1.05,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,35.563,6,51.2,25.796,15.636,false,0.168,80.039,false,0.0,0.0,0.0,0.6365,1.5663200052847888e7,2145.643842855875,1292.6051881827166,MEDIO
500.0,1000.0,1.05,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,35.549,7,53.876,25.811,18.328,false,0.168,83.42,false,0.0,0.0,0.0,0.5921,1.4967083612448718e7,2050.285426362838,1235.1581965460587,MEDIO
500.0,1000.0,1.1,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,37.092,5,38.6,24.268,1.508,false,0.168,64.682,false,0.0,0.0,0.0,0.695,3.335645071564482e7,4569.376810362304,1376.3701258021024,MEDIO
500.0,1000.0,1.1,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,37.05,5,51.2,24.31,14.15,false,0.168,80.039,false,0.0,0.0,0.0,0.6365,3.2814992680887867e7,4495.204476833955,1354.0282204906523,MEDIO
500.0,1000.0,1.1,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,37.025,7,53.876,24.335,16.852,false,0.168,83.42,false,0.0,0.1525,0.0,0.5923,3.454961958855909e7,4732.824601172478,1425.6032413309651,MEDIO
500.0,1000.0,1.2,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,40.128,3,38.6,21.232,-1.529,true,0.168,64.682,false,0.0,0.0,0.0,0.6948,8.240439520136857e7,11288.27331525597,1700.1051574224934,MEDIO
500.0,1000.0,1.2,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,40.081,3,51.2,21.279,11.119,false,0.168,80.039,false,0.0,0.3173,0.0,0.6367,8.623689863003996e7,11813.273784936977,1779.1744695508266,MEDIO
500.0,1000.0,1.2,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,40.034,5,53.876,21.326,13.842,false,0.168,83.42,false,0.0,0.4401,0.0,0.5926,9.237094598299247e7,12653.554244245544,1905.7274952134096,MEDIO
500.0,10000.0,1.05,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,35.598,6,38.6,25.762,3.001,false,0.168,64.682,false,0.0,0.0,0.0,0.6987,1.683326911802386e7,2305.9272764416246,1389.1651081911168,MEDIO
500.0,10000.0,1.05,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,35.57,6,51.2,25.79,15.629,false,0.168,80.039,false,0.0,0.0,0.0,0.6373,1.587631862156784e7,2174.838167338061,1310.1927926757974,MEDIO
500.0,10000.0,1.05,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,35.555,7,53.876,25.805,18.321,false,0.168,83.42,false,0.0,0.0,0.0,0.5924,1.517751069963773e7,2079.111054744895,1252.5236865938757,MEDIO
500.0,10000.0,1.1,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,37.107,5,38.6,24.253,1.492,false,0.168,64.682,false,0.0,0.0,0.0,0.6986,3.380363341310103e7,4630.634714123429,1394.8219962004614,MEDIO
500.0,10000.0,1.1,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,37.071,4,51.2,24.289,14.129,false,0.168,80.039,false,0.0,0.0,0.0,0.6374,3.367677366169364e7,4613.25666598543,1389.5874473123831,MEDIO
500.0,10000.0,1.1,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,37.032,8,53.876,24.328,16.845,false,0.168,83.42,false,0.0,0.0,0.0,0.5926,3.5285533370378986e7,4833.634708271094,1455.968874446358,MEDIO
500.0,10000.0,1.2,3390.05,33.199,true,PESSIMISTA,2.683,26.4,20.0,0.3,0.25,0.0001,2.0,100.0,30,1,20,40.155,3,38.6,21.205,-1.556,true,0.168,64.682,false,0.0,0.0,0.0,0.6985,8.41441214805991e7,11526.591983643713,1735.9978742198873,MEDIO
500.0,10000.0,1.2,3390.05,33.199,true,CENTRAL,11.283,32.1,35.0,0.35,0.3,0.0001,2.0,100.0,30,1,20,40.1,3,51.2,21.26,11.1,false,0.168,80.039,false,0.0,0.0,0.0,0.6379,8.807055761347753e7,12064.459947051715,1817.0051348579188,MEDIO
500.0,10000.0,1.2,3390.05,33.199,true,OTIMISTA,13.889,33.9,50.0,0.4,0.35,0.0001,2.0,100.0,30,1,20,40.054,5,53.876,21.306,13.822,false,0.168,83.42,false,0.0,0.2342,0.0,0.5929,9.449910776361747e7,12945.083255290068,1949.6341194927168,MEDIO
