BLOCO_TOPO_10M,DEPT_TOPO,VSH,PHIE,KX,KZ,FACIES,COESAO_PESSIMISTA,COESAO_CENTRAL,COESAO_OTIMISTA,ATRITO_PESSIMISTA,ATRITO_CENTRAL,ATRITO_OTIMISTA,MAIOR_LACUNA_NO_BLOCO_M,COBERTURA_REAL,FORMACAO,PC_ENTRADA_PA_PESSIMISTA,SWIRR_PESSIMISTA,SGR_RESIDUAL_PESSIMISTA,PC_ENTRADA_PA_CENTRAL,SWIRR_CENTRAL,SGR_RESIDUAL_CENTRAL,PC_ENTRADA_PA_OTIMISTA,SWIRR_OTIMISTA,SGR_RESIDUAL_OTIMISTA,TEMPERATURA_C,TEMPERATURA_C_PESSIMISTA,TEMPERATURA_C_OTIMISTA,KVKH_FORMACAO_CENTRAL
460.0,460.05,0.7942328753143466,0.052199757682252,0.0001,3e-06,0,1000000.0,1985695.2355785428,8000000.0,18.0,19.40813605082649,28.0,0.3000000000000113,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,34.2809,32.90075,35.66105,0.1
470.0,470.1,0.8714129858740978,0.0365503236372254,0.0001,3.0000000000000013e-06,0,1000000.0,2001318.9492419823,8000000.0,18.0,19.430455641774262,28.0,0.3000000000000113,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,34.4618,33.0515,35.8721,0.1
480.0,480.0,0.5175648758927975,0.1297253947416961,3.9524014805861274,3.310344640693092e-06,0,1187500.0,3779673.490980297,8656250.0,18.9375,21.87817462687133,28.65625,0.3000000000000113,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,34.64,33.2,36.08,0.1
490.0,490.05,0.7019148194053931,0.0817736133803544,4.265581104573797,3.199999935191727e-06,0,1125000.0,3003857.6083430964,8437500.0,18.625,20.97013163338213,28.4375,0.3000000000000113,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,34.8209,33.35075,36.29105,0.1
500.0,500.1,0.8168756348155516,0.0327904347914463,0.0001,3.0000000000000013e-06,0,1000000.0,2273045.474113431,8000000.0,18.0,19.818636391590616,28.0,0.3000000000000113,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,35.0018,33.5015,36.5021,0.1
510.0,510.0,0.835142105684039,0.04224685753609,0.0001,3.0000000000000005e-06,0,1000000.0,1982082.77393272,8000000.0,18.0,19.402975391332458,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,35.18,33.65,36.71,0.1
520.0,520.05,0.9349562493250584,0.0193229198545046,0.0001,3.0000000000000005e-06,0,1000000.0,2338732.673299086,8000000.0,18.0,19.91247524757012,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,35.3609,33.80075,36.92105,0.1
530.0,530.1,0.9011643569660288,0.0218483914233438,0.0001,3.0000000000000005e-06,0,1000000.0,1595504.6116904395,8000000.0,18.0,18.850720873843485,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,35.5418,33.9515,37.1321,0.1
540.0,540.0,0.8803098307656428,0.0213730843002576,0.0001,3.0000000000000005e-06,0,1000000.0,2059352.122064187,8000000.0,18.0,19.51336017437741,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,35.72,34.1,37.34,0.1
550.0,550.05,0.8125867568309846,0.0481201458568915,0.0001,3.0000000000000005e-06,0,1000000.0,2502367.049618719,8000000.0,18.0,20.14623864231245,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,35.9009,34.25075,37.551050000000004,0.1
560.0,560.1,0.7319344567472588,0.0661907936653099,0.0001,3.0000000000000005e-06,0,1000000.0,3085779.1834038678,8000000.0,18.0,20.97968454771981,28.0,0.1500000000000909,True,Coqueiro_Seco,5000.0,0.2,0.15,7500.0,0.25,0.2,10000.0,0.3,0.25,36.0818,34.4015,37.762100000000004,0.1
